,Code,Content,Values
0,1000A-0001-GEOGM1,Persons: Official population and area (municipalities),34020
1,1000A-1001-GEOBL1,Persons: Age (ten years age groups),340
2,1000A-1001-GEOGM1,Persons: Age (ten years age groups),226820
3,1000A-1001-GEOLK1,Persons: Age (ten years age groups),8260
4,1000A-1001-GEORB1,Persons: Age (ten years age groups),740
5,1000A-1001-GEOVB1,Persons: Age (ten years age groups),26680
6,1000A-1002-GEOBL1,Persons: Age (eleven classes of years),408
7,1000A-1002-GEOGM1,Persons: Age (eleven classes of years),272184
8,1000A-1002-GEOLK1,Persons: Age (eleven classes of years),9912
9,1000A-1002-GEORB1,Persons: Age (eleven classes of years),888
10,1000A-1002-GEOVB1,Persons: Age (eleven classes of years),32016
11,1000A-1003-GEOBL1,Persons: Age (five classes of years),204
12,1000A-1003-GEOGM1,Persons: Age (five classes of years),136092
13,1000A-1003-GEOLK1,Persons: Age (five classes of years),0
14,1000A-1003-GEORB1,Persons: Age (five classes of years),444
15,1000A-1003-GEOVB1,Persons: Age (five classes of years),0
16,1000A-1004-GEOBL1,Persons: Age (five years age groups),680
17,1000A-1004-GEOGM1,Persons: Age (five years age groups),453640
18,1000A-1004-GEOLK1,Persons: Age (five years age groups),16520
19,1000A-1004-GEORB1,Persons: Age (five years age groups),1480
20,1000A-1004-GEOVB1,Persons: Age (five years age groups),53360
21,1000A-1005-GEOBL1,Persons: Age (age classes of relevance to infrastructure),408
22,1000A-1005-GEOGM1,Persons: Age (age classes of relevance to infrastructure),272184
23,1000A-1005-GEOLK1,Persons: Age (age classes of relevance to infrastructure),9912
24,1000A-1005-GEORB1,Persons: Age (age classes of relevance to infrastructure),888
25,1000A-1005-GEOVB1,Persons: Age (age classes of relevance to infrastructure),32016
26,1000A-1006-GEOBL1,Persons: Age (yearly stages),3468
27,1000A-1006-GEOLK1,Persons: Age (yearly stages),84252
28,1000A-1006-GEORB1,Persons: Age (yearly stages),7548
29,1000A-1006-GEOVB1,Persons: Age (yearly stages),272136
30,1000A-1007-GEOBL1,Persons: Age (age classes of relevance to market research),476
31,1000A-1007-GEOGM1,Persons: Age (age classes of relevance to market research),317548
32,1000A-1007-GEOLK1,Persons: Age (age classes of relevance to market research),11564
33,1000A-1007-GEORB1,Persons: Age (age classes of relevance to market research),1036
34,1000A-1007-GEOVB1,Persons: Age (age classes of relevance to market research),37352
35,1000A-1008-GEOBL1,Persons: Type of household,204
36,1000A-1008-GEOGM1,Persons: Type of household,136092
37,1000A-1008-GEOLK1,Persons: Type of household,4956
38,1000A-1008-GEORB1,Persons: Type of household,444
39,1000A-1008-GEOVB1,Persons: Type of household,16008
40,1000A-1009-GEOBL1,Persons: Marital status (in detail),306
41,1000A-1009-GEOGM1,Persons: Marital status (in detail),204138
42,1000A-1009-GEOLK1,Persons: Marital status (in detail),7434
43,1000A-1009-GEORB1,Persons: Marital status (in detail),666
44,1000A-1009-GEOVB1,Persons: Marital status (in detail),24012
45,1000A-1010-GEOBL1,Persons: Marital status,204
46,1000A-1010-GEOGM1,Persons: Marital status,136092
47,1000A-1010-GEOLK1,Persons: Marital status,4956
48,1000A-1010-GEORB1,Persons: Marital status,444
49,1000A-1010-GEOVB1,Persons: Marital status,16008
50,1000A-1011-GEOBL1,Persons: Country of birth (groups),272
51,1000A-1011-GEOGM1,Persons: Country of birth (groups),181456
52,1000A-1011-GEOLK1,Persons: Country of birth (groups),6608
53,1000A-1011-GEORB1,Persons: Country of birth (groups),592
54,1000A-1011-GEOVB1,Persons: Country of birth (groups),21344
55,1000A-1012-GEOBL1,Persons: Country of birth,7072
56,1000A-1012-GEOLK1,Persons: Country of birth,171808
57,1000A-1012-GEORB1,Persons: Country of birth,15392
58,1000A-1012-GEOVB1,Persons: Country of birth,554944
59,1000A-1013-GEOBL1,Persons: Sex,102
60,1000A-1013-GEOGM1,Persons: Sex,68046
61,1000A-1013-GEOLK1,Persons: Sex,2478
62,1000A-1013-GEORB1,Persons: Sex,222
63,1000A-1013-GEOVB1,Persons: Sex,8004
64,1000A-1014-GEOBL1,Persons: Religion,136
65,1000A-1014-GEOGM1,Persons: Religion,90728
66,1000A-1014-GEOLK1,Persons: Religion,3304
67,1000A-1014-GEORB1,Persons: Religion,296
68,1000A-1014-GEOVB1,Persons: Religion,10672
69,1000A-1015-GEOBL1,Persons: Citizenship,102
70,1000A-1015-GEOGM1,Persons: Citizenship,68046
71,1000A-1015-GEOLK1,Persons: Citizenship,2478
72,1000A-1015-GEORB1,Persons: Citizenship,222
73,1000A-1015-GEOVB1,Persons: Citizenship,8004
74,1000A-1016-GEOBL1,Persons: Citizenship (selected countries),510
75,1000A-1016-GEOGM1,Persons: Citizenship (selected countries),340230
76,1000A-1016-GEOLK1,Persons: Citizenship (selected countries),12390
77,1000A-1016-GEORB1,Persons: Citizenship (selected countries),1110
78,1000A-1016-GEOVB1,Persons: Citizenship (selected countries),40020
79,1000A-1017-GEOBL1,Persons: Citizenship (groups),272
80,1000A-1017-GEOGM1,Persons: Citizenship (groups),181456
81,1000A-1017-GEOLK1,Persons: Citizenship (groups),6608
82,1000A-1017-GEORB1,Persons: Citizenship (groups),592
83,1000A-1017-GEOVB1,Persons: Citizenship (groups),21344
84,1000A-1018-GEOBL1,Persons: Citizenship (continents),272
85,1000A-1018-GEOGM1,Persons: Citizenship (continents),181456
86,1000A-1018-GEOLK1,Persons: Citizenship (continents),6608
87,1000A-1018-GEORB1,Persons: Citizenship (continents),592
88,1000A-1018-GEOVB1,Persons: Citizenship (continents),21344
89,1000A-1019-GEOBL1,Persons: Citizenship (countries),7174
90,1000A-1019-GEORB1,Persons: Citizenship (countries),15614
91,1000A-1020-GEOBL1,Persons: Type of use of the dwelling,192
92,1000A-1020-GEODL1,Persons: Type of use of the dwelling,12
93,1000A-1020-GEOGM1,Persons: Type of use of the dwelling,136080
94,1000A-1020-GEOLK1,Persons: Type of use of the dwelling,4944
95,1000A-1020-GEORB1,Persons: Type of use of the dwelling,432
96,1000A-1020-GEOVB1,Persons: Type of use of the dwelling,15996
97,1000A-1021-GEOBL1,Persons: Type of building,256
98,1000A-1021-GEODL1,Persons: Type of building,16
99,1000A-1022-GEOBL1,Persons: Equipment in dwelling,160
100,1000A-1022-GEODL1,Persons: Equipment in dwelling,10
101,1000A-1022-GEOGM1,Persons: Equipment in dwelling,113400
102,1000A-1022-GEOLK1,Persons: Equipment in dwelling,4120
103,1000A-1022-GEORB1,Persons: Equipment in dwelling,360
104,1000A-1022-GEOVB1,Persons: Equipment in dwelling,13330
105,1000A-1023-GEOBL1,Persons: Year of construction (decades),320
106,1000A-1023-GEODL1,Persons: Year of construction (decades),20
107,1000A-1024-GEOBL1,Persons: Ownership of the building,288
108,1000A-1024-GEODL1,Persons: Ownership of the building,18
109,1000A-1025-GEOBL1,Persons: Ownership of the dwelling,192
110,1000A-1025-GEODL1,Persons: Ownership of the dwelling,12
111,1000A-1025-GEOGM2,Persons: Ownership of the dwelling,18888
112,1000A-1025-GEOLK1,Persons: Ownership of the dwelling,4944
113,1000A-1025-GEORB1,Persons: Ownership of the dwelling,432
114,1000A-1025-GEOVB3,Persons: Ownership of the dwelling,1884
115,1000A-1026-GEOBL1,Persons: Floor area of the dwelling (10m² intervals),576
116,1000A-1026-GEODL1,Persons: Floor area of the dwelling (10m² intervals),36
117,1000A-1027-GEOBL1,Persons: Floor area of the dwelling (20m² intervals),352
118,1000A-1027-GEODL1,Persons: Floor area of the dwelling (20m² intervals),22
119,1000A-1027-GEOLK1,Persons: Floor area of the dwelling (20m² intervals),9064
120,1000A-1027-GEORB1,Persons: Floor area of the dwelling (20m² intervals),792
121,1000A-1028-GEOBL1,Persons: Type of the building (construction type),160
122,1000A-1028-GEODL1,Persons: Type of the building (construction type),10
123,1000A-1028-GEOGM1,Persons: Type of the building (construction type),113400
124,1000A-1028-GEOLK1,Persons: Type of the building (construction type),4120
125,1000A-1028-GEORB1,Persons: Type of the building (construction type),360
126,1000A-1028-GEOVB1,Persons: Type of the building (construction type),13330
127,1000A-1029-GEOBL1,Persons: Type of the building (size),352
128,1000A-1029-GEODL1,Persons: Type of the building (size),22
129,1000A-1029-GEOGM1,Persons: Type of the building (size),249480
130,1000A-1029-GEOLK1,Persons: Type of the building (size),9064
131,1000A-1029-GEORB1,Persons: Type of the building (size),792
132,1000A-1029-GEOVB1,Persons: Type of the building (size),29326
133,1000A-1030-GEOBL1,Persons: Size of private household,224
134,1000A-1030-GEODL1,Persons: Size of private household,14
135,1000A-1030-GEOGM1,Persons: Size of private household,158760
136,1000A-1030-GEOLK1,Persons: Size of private household,5768
137,1000A-1030-GEORB1,Persons: Size of private household,504
138,1000A-1030-GEOVB1,Persons: Size of private household,18662
139,1000A-1031-GEOBL1,Persons: Rooms,256
140,1000A-1031-GEODL1,Persons: Rooms,16
141,1000A-1031-GEOGM1,Persons: Rooms,181440
142,1000A-1031-GEOLK1,Persons: Rooms,6592
143,1000A-1031-GEORB1,Persons: Rooms,576
