Tabelle: 1000X-0001
Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden);;;;
Bevölkerung kompakt;;;;;;;
09.05.2011;;;;;;;
;;Personen;;Fläche;;Bevölkerungsdichte;
;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
010010000000;Flensburg, Stadt;82258;e;56,74;e;1450;e
010020000000;Kiel, Landeshauptstadt;235782;e;118,65;e;1987;e
010030000000;Lübeck, Hansestadt;210305;e;214,21;e;982;e
010040000000;Neumünster, Stadt;77249;e;71,63;e;1078;e
010510011011;Brunsbüttel, Stadt;12834;e;65,24;e;197;e
010510044044;Heide, Stadt;20768;e;31,97;e;650;e
010515163003;Averlak;615;e;9,07;e;68;e
010515163010;Brickeln;208;e;6,07;e;34;e
010515163012;Buchholz (Kreis Dithmarschen);1080;e;14,55;e;74;e
010515163016;Burg (Dithmarschen);4219;e;11,23;e;376;e
010515163022;Dingen;658;e;7,02;e;94;e
010515163024;Eddelak;1398;e;9,21;e;152;e
010515163026;Eggstedt;772;e;12,79;e;60;e
010515163032;Frestedt;374;e;10,32;e;36;e
010515163037;Großenrade;493;e;10,40;e;47;e
010515163051;Hochdonn;1193;e;5,46;e;218;e
010515163064;Kuden;637;e;11,36;e;56;e
010515163089;Quickborn;201;e;6,95;e;29;e
010515163097;Sankt Michaelisdonn;3618;e;23,05;e;157;e
010515163110;Süderhastedt;851;e;15,74;e;54;e
010515166021;Diekhusen-Fahrstedt;762;e;7,46;e;102;e
010515166034;Friedrichskoog;2491;e;53,35;e;47;e
010515166046;Helse;911;e;11,44;e;80;e
010515166057;Kaiser-Wilhelm-Koog;350;e;13,06;e;27;e
010515166062;Kronprinzenkoog;842;e;28,85;e;29;e
010515166072;Marne, Stadt;5727;e;4,83;e;1186;e
010515166073;Marnerdeich;402;e;1,31;e;307;e
010515166076;Neufeld;617;e;10,41;e;59;e
010515166077;Neufelderkoog;132;e;9,76;e;14;e
010515166090;Ramhusen;163;e;4,80;e;34;e
010515166103;Schmedeswurth;200;e;5,91;e;34;e
010515166118;Trennewurth;259;e;7,79;e;33;e
010515166119;Volsemenhusen;358;e;16,78;e;21;e
010515169005;Barkenholm;171;e;5,11;e;33;e
010515169008;Bergewöhrden;34;e;2,64;e;13;e
010515169019;Dellstedt;775;e;21,77;e;36;e
010515169020;Delve;714;e;15,84;e;45;e
010515169023;Dörpling;621;e;7,82;e;79;e
010515169030;Fedderingen;274;e;9,69;e;28;e
010515169035;Gaushorn;183;e;6,45;e;28;e
010515169036;Glüsing;118;e;4,69;e;25;e
010515169038;Groven;91;e;7,90;e;12;e
010515169047;Hemme;516;e;16,53;e;31;e
010515169049;Hennstedt (Kreis Dithmarschen);1951;e;21,93;e;89;e
010515169052;Hövede;68;e;2,94;e;23;e
010515169053;Hollingstedt (Kreis Dithmarschen);320;e;9,74;e;33;e
