Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
15.05.2022;010010000000;Flensburg, Stadt;95015;e;56,73;e;1675;e
;010020000000;Kiel, Landeshauptstadt;249132;e;118,65;e;2100;e
;010030000000;Lübeck, Hansestadt;215958;e;214,19;e;1008;e
;010040000000;Neumünster, Stadt;79625;e;71,66;e;1111;e
;010510011011;Brunsbüttel, Stadt;12573;e;65,21;e;193;e
;010510044044;Heide, Stadt;21487;e;31,97;e;672;e
;010515163003;Averlak;568;e;9,06;e;63;e
;010515163010;Brickeln;191;e;6,07;e;31;e
;010515163012;Buchholz (Kreis Dithmarschen);1001;e;14,56;e;69;e
;010515163016;Burg (Dithmarschen);4150;e;11,25;e;369;e
;010515163022;Dingen;648;e;7,01;e;92;e
;010515163024;Eddelak;1330;e;9,21;e;144;e
;010515163026;Eggstedt;761;e;12,79;e;59;e
;010515163032;Frestedt;337;e;10,33;e;33;e
;010515163037;Großenrade;482;e;10,40;e;46;e
;010515163051;Hochdonn;1124;e;5,46;e;206;e
;010515163064;Kuden;622;e;11,37;e;55;e
;010515163089;Quickborn;188;e;6,95;e;27;e
;010515163097;Sankt Michaelisdonn;3539;e;23,06;e;153;e
;010515163110;Süderhastedt;771;e;15,74;e;49;e
;010515166021;Diekhusen-Fahrstedt;675;e;7,46;e;90;e
;010515166034;Friedrichskoog;2403;e;53,27;e;45;e
;010515166046;Helse;800;e;11,44;e;70;e
;010515166057;Kaiser-Wilhelm-Koog;356;e;13,05;e;27;e
;010515166062;Kronprinzenkoog;833;e;28,84;e;29;e
;010515166072;Marne, Stadt;5766;e;4,83;e;1194;e
;010515166073;Marnerdeich;395;e;1,31;e;302;e
;010515166076;Neufeld;613;e;10,40;e;59;e
;010515166077;Neufelderkoog;116;e;9,77;e;12;e
;010515166090;Ramhusen;160;e;4,80;e;33;e
;010515166103;Schmedeswurth;174;e;5,91;e;29;e
;010515166118;Trennewurth;229;e;7,79;e;29;e
;010515166119;Volsemenhusen;328;e;16,78;e;20;e
;010515169005;Barkenholm;177;e;5,11;e;35;e
;010515169008;Bergewöhrden;35;e;2,64;e;13;e
;010515169019;Dellstedt;718;e;21,77;e;33;e
;010515169020;Delve;760;e;15,84;e;48;e
;010515169023;Dörpling;637;e;7,82;e;81;e
;010515169030;Fedderingen;265;e;9,69;e;27;e
;010515169035;Gaushorn;175;e;6,45;e;27;e
;010515169036;Glüsing;107;e;4,69;e;23;e
;010515169038;Groven;90;e;7,90;e;11;e
;010515169047;Hemme;499;e;16,53;e;30;e
;010515169049;Hennstedt (Kreis Dithmarschen);2071;e;21,93;e;94;e
;010515169052;Hövede;64;e;2,94;e;22;e
;010515169053;Hollingstedt (Kreis Dithmarschen);304;e;9,74;e;31;e
;010515169058;Karolinenkoog;132;e;17,55;e;8;e
;010515169060;Kleve (Kreis Dithmarschen);413;e;12,81;e;32;e
;010515169061;Krempel;600;e;4,82;e;124;e
;010515169065;Lehe (Kreis Dithmarschen);1092;e;18,63;e;59;e
;010515169068;Linden (Kreis Dithmarschen);874;e;11,62;e;75;e
;010515169071;Lunden;1727;e;4,65;e;371;e
;010515169080;Norderheistedt;131;e;4,33;e;30;e
;010515169088;Pahlen;1171;e;10,80;e;108;e
;010515169092;Rehm-Flehde-Bargen;539;e;14,63;e;37;e
;010515169096;Sankt Annen;311;e;14,89;e;21;e
;010515169100;Schalkholz;578;e;12,52;e;46;e
;010515169102;Schlichting;243;e;12,50;e;19;e
;010515169114;Tellingstedt;2673;e;21,10;e;127;e
;010515169117;Tielenhemme;156;e;12,68;e;12;e
;010515169120;Wallen;33;e;1,86;e;18;e
;010515169125;Welmbüttel;406;e;7,60;e;53;e
;010515169131;Westerborstel;117;e;4,14;e;28;e
;010515169133;Wiemerstedt;152;e;5,08;e;30;e
;010515169136;Wrohm;741;e;11,45;e;65;e
;010515169139;Süderdorf;362;e;16,21;e;22;e
;010515169141;Süderheistedt;548;e;8,44;e;65;e
;010515172048;Hemmingstedt;2860;e;16,01;e;179;e
;010515172067;Lieth;381;e;4,66;e;82;e
;010515172069;Lohe-Rickelshof;2040;e;5,39;e;378;e
;010515172075;Neuenkirchen (Kreis Dithmarschen);934;e;25,14;e;37;e
;010515172081;Norderwöhrden;262;e;18,47;e;14;e
;010515172082;Nordhastedt;2803;e;26,56;e;106;e
;010515172087;Ostrohe;867;e;6,66;e;130;e
;010515172107;Stelle-Wittenwurth;460;e;10,71;e;43;e
;010515172113;Wöhrden;1165;e;21,77;e;54;e
;010515172122;Weddingstedt;2371;e;17,89;e;133;e
;010515172130;Wesseln;1368;e;3,76;e;364;e
;010515175001;Albersdorf (Kreis Dithmarschen);3717;e;17,12;e;217;e
;010515175002;Arkebek;227;e;6,92;e;33;e
;010515175004;Bargenstedt;920;e;11,90;e;77;e
;010515175006;Barlt;763;e;22,88;e;33;e
;010515175015;Bunsoh;771;e;11,75;e;66;e
;010515175017;Busenwurth;308;e;10,09;e;31;e
;010515175027;Elpersbüttel;851;e;30,17;e;28;e
;010515175028;Epenwöhrden;766;e;13,52;e;57;e
;010515175039;Gudendorf;428;e;6,04;e;71;e
