,EF1_Satzart,EF2_Gebietstand,EF3_ARS,EF4_Verband,EF5_Verbandsbezeichnung,EF6_Sitz_des_Verbandes,EF7_Schlüsselfelder,EF8_Leer,EF9_Frei für landesinterne Angaben,BL_nr,BL_name
6992,30,20241031,0811,,Region Stuttgart,Stuttgart,,,,8,Baden-Württemberg
7261,30,20241031,0812,,Region Heilbronn-Franken,Heilbronn,,,,8,Baden-Württemberg
7428,30,20241031,0813,,Region Ostwürttemberg,Schwäbisch Gmünd,,,,8,Baden-Württemberg
7507,30,20241031,0821,,Region Mittlerer Oberrhein,Karlsruhe,,,,8,Baden-Württemberg
7604,30,20241031,0822,,Region Rhein-Neckar,Mannheim,,,,8,Baden-Württemberg
7734,30,20241031,0823,,Region Nordschwarzwald,Pforzheim,,,,8,Baden-Württemberg
7843,30,20241031,0831,,Region Südlicher Oberrhein,Freiburg im Breisgau,,,,8,Baden-Württemberg
8024,30,20241031,0832,,Region Schwarzwald-Baar-Heuberg,Villingen-Schwenningen,,,,8,Baden-Württemberg
8127,30,20241031,0833,,Region Hochrhein-Bodensee,Waldshut-Tiengen,,,,8,Baden-Württemberg
8261,30,20241031,0841,,Region Neckar-Alb,Mössingen,,,,8,Baden-Württemberg
8366,30,20241031,0842,,Region Donau-Iller,Ulm,,,,8,Baden-Württemberg
8495,30,20241031,0843,,Region Bodensee-Oberschwaben,Ravensburg,,,,8,Baden-Württemberg
