,ARS,BL_name,ADE2,ADE3,ADE4,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
0,010010000000,Schleswig-Holstein,01,0,01,1.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1,5673,5673.0,5673.0,92667,92667.0,92667.0,45905,45905.0,45905.0,1,['24937*****'],1,[2115],1,[11121],1,[19010],1,[1]
1,010020000000,Schleswig-Holstein,01,0,02,1.0,1,0.0,1,2.0,1,0.0,1,0.0,1,1,11865,11865.0,11865.0,248873,248873.0,248873.0,120699,120699.0,120699.0,1,['24103*****'],1,[2119],1,[15171],1,[31010],1,[5]
2,010030000000,Schleswig-Holstein,01,0,03,1.0,1,0.0,1,3.0,1,0.0,1,0.0,1,1,21419,21419.0,21419.0,219044,219044.0,219044.0,105259,105259.0,105259.0,1,['23539*****'],1,[2122],1,[17211],1,[35010],1,[11]
3,010040000000,Schleswig-Holstein,01,0,04,1.0,1,0.0,1,4.0,1,0.0,1,0.0,1,1,7166,7166.0,7166.0,80185,80185.0,80185.0,39772,39772.0,39772.0,1,['24534*****'],1,[2124],1,[15191],1,[39010],1,[6]
4,010510000000,Schleswig-Holstein,01,0,51,1.0,116,0.0,116,51.0,116,5082.22,116,71.34,116,116,142818,1036.5,1231.19,135653,482.5,1169.42,66955,247.0,577.2,35,"['25767     ' '25715     ' '25704     ' '25791     ' '25719     '
 '25779     ' '25712     ' '25541     ' '25761     ' '25786     '
 '25788     ' '25709     ' '25794     ' '25721     ' '25727     '
 '25764     ' '25718     ' '25782     ' '25774     ' '25693     '
 '25746     ' '25770     ' '25779*****' '25774*****' '25792*****'
 '25724     ' '25785     ' '25785*****' '25776     ' '25725     '
 '25795     ' '25792     ' '25797     ' '25729     ' '25799     ']",2,[2123 2116],1,[13191],3,[27010 27050 27130],2,[3 2]
5,010530000000,Schleswig-Holstein,01,0,53,1.0,133,0.0,133,53.0,133,5140.81,133,68.67,133,133,126305,747.0,949.66,204836,505.0,1540.12,100423,255.0,755.06,34,"['23909     ' '23881     ' '21521     ' '21483     ' '21493     '
 '23919     ' '23899     ' '23847     ' '21039     ' '21514     '
 '23883     ' '21524     ' '23911     ' '21481     ' '22946     '
 '23898     ' '21502     ' '23627     ' '23860     ' '21483*****'
 '22929     ' '21526     ' '23628     ' '21527*****' '21529*****'
 '22958     ' '23883*****' '22959     ' '23879     ' '21516*****'
 '23896     ' '23911*****' '21516     ' '21465     ']",1,[2127],4,[17251 17261 17281  1728],5,[11130 11170 11090 11010     0],2,[10 11]
6,010540000000,Schleswig-Holstein,01,0,54,1.0,133,0.0,133,54.0,133,5273.05,133,84.33,133,133,208353,1202.0,1566.56,170007,568.0,1278.25,83329,279.0,626.53,51,"['25917     ' '25853     ' '25885     ' '25885*****' '25938     '
 '25821     ' '25860     ' '25927     ' '25842     ' '25850     '
 '25852*****' '25899     ' '25923     ' '25926     ' '25878*****'
 '25845     ' '25876     ' '25840     ' '25924     ' '25836     '
 '25862     ' '25869     ' '25855     ' '25856     ' '25858     '
 '25997     ' '25859     ' '25860*****' '25813     ' '25999*****'
 '25832     ' '25863*****' '25992     ' '25864     ' '25866     '
 '25946     ' '25870     ' '25884     ' '25873     ' '25872     '
 '25849*****' '25920*****' '25826     ' '25920     ' '25881     '
 '25882     ' '25889     ' '25996     ' '25887     ' '25924*****'
 '25980     ']",2,[2121 2117],2,[11181 11151],4,[19130 19050 19270 19210],1,[2]
7,010550000000,Schleswig-Holstein,01,0,55,1.0,36,0.0,36,55.0,36,2791.39,36,24.69,36,36,139299,2907.5,3869.42,204275,2246.5,5674.31,98217,1081.0,2728.25,25,"['23623     ' '23730     ' '23611     ' '23738     ' '23715*****'
 '23747*****' '23701     ' '23758     ' '23758*****' '23743*****'
 '23775     ' '23749*****' '23774     ' '23777     ' '23717     '
 '23746*****' '23714*****' '23779*****' '23626*****' '23738*****'
 '23744     ' '23617     ' '23669     ' '23683*****' '23769     ']",2,[2114 2125],3,[17161 17241 17211],3,[35050 35010 35130],1,[9]
8,010560000000,Schleswig-Holstein,01,0,56,1.0,49,0.0,49,56.0,49,4167.16,49,26.67,49,49,66427,1157.0,1355.65,324018,2305.0,6612.61,158966,1148.0,3244.2,30,"['25482     ' '25355     ' '25485     ' '25474*****' '25364     '
 '25335     ' '25494     ' '25474     ' '25373     ' '25335*****'
 '25436     ' '25469     ' '25489     ' '25492     ' '27498     '
 '25491*****' '25488     ' '25336     ' '25365     ' '25337     '
 '25495     ' '25370     ' '25421     ' '25497     ' '25451     '
 '25462     ' '22869     ' '25371*****' '25499     ' '22880     ']",2,[2131 2113],2,[13211 13121],3,[15170 15010 15210],1,[7]
