,ARS,BL_name,ADE2,ADE3,ADE4,ADE5,ADE6,EF5_Verbandsbezeichnung,GEM_TYPE,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
0,010010000000,Schleswig-Holstein,01,0,01,0000,000,"Flensburg, Stadt",Kreisfreie Stadt,1.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1,5673,5673.0,5673.0,92667,92667.0,92667.0,45905,45905.0,45905.0,1,['24937*****'],1,[2115],1,[11121],1,[19010],1,[1]
1,010020000000,Schleswig-Holstein,01,0,02,0000,000,"Kiel, Landeshauptstadt",Kreisfreie Stadt,1.0,1,0.0,1,2.0,1,0.0,1,0.0,1,1,11865,11865.0,11865.0,248873,248873.0,248873.0,120699,120699.0,120699.0,1,['24103*****'],1,[2119],1,[15171],1,[31010],1,[5]
2,010030000000,Schleswig-Holstein,01,0,03,0000,000,"Lübeck, Hansestadt",Kreisfreie Stadt,1.0,1,0.0,1,3.0,1,0.0,1,0.0,1,1,21419,21419.0,21419.0,219044,219044.0,219044.0,105259,105259.0,105259.0,1,['23539*****'],1,[2122],1,[17211],1,[35010],1,[11]
3,010040000000,Schleswig-Holstein,01,0,04,0000,000,"Neumünster, Stadt",Kreisfreie Stadt,1.0,1,0.0,1,4.0,1,0.0,1,0.0,1,1,7166,7166.0,7166.0,80185,80185.0,80185.0,39772,39772.0,39772.0,1,['24534*****'],1,[2124],1,[15191],1,[39010],1,[6]
4,010510011011,Schleswig-Holstein,01,0,51,0011,011,"Brunsbüttel, Stadt",Stadt,1.0,1,0.0,1,51.0,1,11.0,1,11.0,1,1,6521,6521.0,6521.0,12651,12651.0,12651.0,6396,6396.0,6396.0,1,['25541     '],1,[2123],1,[13191],1,[27050],1,[3]
5,010510044044,Schleswig-Holstein,01,0,51,0044,044,"Heide, Stadt",Stadt,1.0,1,0.0,1,51.0,1,44.0,1,44.0,1,1,3197,3197.0,3197.0,22467,22467.0,22467.0,10915,10915.0,10915.0,1,['25746     '],1,[2116],1,[13191],1,[27010],1,[2]
6,010515163003,Schleswig-Holstein,01,0,51,5163,003,Averlak,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,3.0,1,1,906,906.0,906.0,587,587.0,587.0,301,301.0,301.0,1,['25715     '],1,[2123],1,[13191],1,[27050],1,[3]
7,010515163010,Schleswig-Holstein,01,0,51,5163,010,Brickeln,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,10.0,1,1,607,607.0,607.0,191,191.0,191.0,108,108.0,108.0,1,['25712     '],1,[2123],1,[13191],1,[27050],1,[3]
8,010515163012,Schleswig-Holstein,01,0,51,5163,012,Buchholz,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,12.0,1,1,1456,1456.0,1456.0,995,995.0,995.0,518,518.0,518.0,1,['25712     '],1,[2123],1,[13191],1,[27050],1,[3]
9,010515163016,Schleswig-Holstein,01,0,51,5163,016,Burg (Dithmarschen),Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,16.0,1,1,1125,1125.0,1125.0,4173,4173.0,4173.0,2026,2026.0,2026.0,1,['25712     '],1,[2123],1,[13191],1,[27050],1,[3]
10,010515163022,Schleswig-Holstein,01,0,51,5163,022,Dingen,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,22.0,1,1,701,701.0,701.0,636,636.0,636.0,317,317.0,317.0,1,['25715     '],1,[2123],1,[13191],1,[27050],1,[3]
11,010515163024,Schleswig-Holstein,01,0,51,5163,024,Eddelak,Kreisangehörige Gemeinde,1.0,1,0.0,1,51.0,1,5163.0,1,24.0,1,1,921,921.0,921.0,1361,1361.0,1361.0,693,693.0,693.0,1,['25715     '],1,[2123],1,[13191],1,[27050],1,[3]
