,ARS_BL,BL_name,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
0,1,Schleswig-Holstein,2927542,15704.93,186.41
1,2,Hamburg,1808846,755.09,2395.54
2,3,Niedersachsen,7943265,46582.6,170.52
3,4,Bremen,693204,419.37,1652.97
4,5,Nordrhein-Westfalen,17890489,34112.49,524.46
5,6,Hessen,6207278,20788.7,298.59
6,7,Rheinland-Pfalz,4094169,19851.68,206.24
7,8,Baden-Württemberg,11104040,35673.24,311.27
8,9,Bayern,13038724,68368.54,190.71
9,10,Saarland,1006864,2570.49,391.7
10,11,Berlin,3596999,891.12,4036.49
11,12,Brandenburg,2534075,29654.4,85.45
12,13,Mecklenburg-Vorpommern,1570817,23293.82,67.43
13,14,Sachsen,4038131,18450.0,218.87
14,15,Sachsen-Anhalt,2146443,20464.1,104.89
15,16,Thüringen,2110396,16202.31,130.25
