,ARS_BL,BL_name,ARS_KREIS,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
0,1,Schleswig-Holstein,1,95015,56.73,1674.86
1,1,Schleswig-Holstein,2,249132,118.65,2099.72
2,1,Schleswig-Holstein,3,215958,214.19,1008.25
3,1,Schleswig-Holstein,4,79625,71.66,1111.15
4,1,Schleswig-Holstein,51,132810,1428.18,92.99
5,1,Schleswig-Holstein,53,203381,1204.57,168.84
6,1,Schleswig-Holstein,54,168489,2083.53,80.87
7,1,Schleswig-Holstein,55,200936,1393.0,144.25
8,1,Schleswig-Holstein,56,320275,664.27,482.15
9,1,Schleswig-Holstein,57,129634,1083.57,119.64
10,1,Schleswig-Holstein,58,275744,2189.76,125.92
11,1,Schleswig-Holstein,59,203169,2071.33,98.09
12,1,Schleswig-Holstein,60,277323,1303.55,212.74
13,1,Schleswig-Holstein,61,131002,1055.7,124.09
14,1,Schleswig-Holstein,62,245049,766.24,319.81
15,2,Hamburg,0,1808846,755.09,2395.54
16,3,Niedersachsen,1,333661,255.14999999999998,1307.71
17,3,Niedersachsen,2,153135,336.83000000000004,454.64
18,3,Niedersachsen,3,299904,307.71000000000004,974.63
19,3,Niedersachsen,4,164898,119.8,1376.44
20,3,Niedersachsen,5,75366,107.11,703.63
21,3,Niedersachsen,41,1129158,2297.15,491.55
22,3,Niedersachsen,51,691187,5829.6900000000005,118.56
23,3,Niedersachsen,52,535786,4138.66,129.46
24,3,Niedersachsen,53,563943,3263.13,172.82
25,3,Niedersachsen,54,733156,5831.9,125.71
26,3,Niedersachsen,55,468670,3605.66,129.98
27,3,Niedersachsen,56,375786,3035.27,123.81
28,3,Niedersachsen,57,624739,4372.34,142.88
29,3,Niedersachsen,58,390802,3657.69,106.84
30,3,Niedersachsen,59,886480,4876.73,181.78
31,3,Niedersachsen,60,235652,2276.82,103.5
32,3,Niedersachsen,61,225293,1614.12,139.58
33,3,Niedersachsen,62,55649,656.84,84.72
34,4,Bremen,11,575071,317.84,1809.31
35,4,Bremen,12,118133,101.53,1163.53
36,5,Nordrhein-Westfalen,11,1295618,621.9,2083.32
37,5,Nordrhein-Westfalen,12,619336,333.40999999999997,1857.58
38,5,Nordrhein-Westfalen,13,1433415,595.99,2405.1
39,5,Nordrhein-Westfalen,14,741824,439.28999999999996,1688.69
40,5,Nordrhein-Westfalen,15,1500197,934.7099999999999,1604.99
41,5,Nordrhein-Westfalen,16,585891,300.76,1948.03
