,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
0,1,Schleswig-Holstein,1,0,95015,56.73,1674.86
1,1,Schleswig-Holstein,2,0,249132,118.65,2099.72
2,1,Schleswig-Holstein,3,0,215958,214.19,1008.25
3,1,Schleswig-Holstein,4,0,79625,71.66,1111.15
4,1,Schleswig-Holstein,51,11,12573,65.21,192.81
5,1,Schleswig-Holstein,51,44,21487,31.97,672.1
6,1,Schleswig-Holstein,51,5163,15712,153.26,102.52
7,1,Schleswig-Holstein,51,5166,12848,175.65,73.15
8,1,Schleswig-Holstein,51,5169,18901,361.36,52.31
9,1,Schleswig-Holstein,51,5172,15511,157.02,98.78
10,1,Schleswig-Holstein,51,5175,23119,339.72,68.05
11,1,Schleswig-Holstein,51,5178,12659,143.99,87.92
12,1,Schleswig-Holstein,53,32,32343,33.25,972.72
13,1,Schleswig-Holstein,53,83,11395,9.56,1191.95
14,1,Schleswig-Holstein,53,90,19392,25.05,774.13
15,1,Schleswig-Holstein,53,100,14873,30.29,491.02
16,1,Schleswig-Holstein,53,116,16889,11.55,1462.25
17,1,Schleswig-Holstein,53,129,13524,6.87,1968.56
18,1,Schleswig-Holstein,53,5308,8411,76.83,109.48
19,1,Schleswig-Holstein,53,5313,6943,93.73,74.07
20,1,Schleswig-Holstein,53,5318,14866,193.04,77.01
21,1,Schleswig-Holstein,53,5323,20738,67.9,305.42
22,1,Schleswig-Holstein,53,5343,3923,80.74,48.59
23,1,Schleswig-Holstein,53,5358,14165,237.83,59.56
24,1,Schleswig-Holstein,53,5373,10174,131.82,77.18
25,1,Schleswig-Holstein,53,5391,15745,206.11,76.39
26,1,Schleswig-Holstein,54,33,2614,4.02,650.25
27,1,Schleswig-Holstein,54,56,23628,25.8,915.81
28,1,Schleswig-Holstein,54,108,311,45.91,6.77
29,1,Schleswig-Holstein,54,138,4789,44.43,107.79
30,1,Schleswig-Holstein,54,168,14579,57.31,254.39
31,1,Schleswig-Holstein,54,5417,11272,249.17000000000002,45.24
32,1,Schleswig-Holstein,54,5439,4232,38.650000000000006,109.5
33,1,Schleswig-Holstein,54,5453,9385,177.76,52.8
34,1,Schleswig-Holstein,54,5459,1476,57.32000000000001,25.75
35,1,Schleswig-Holstein,54,5488,10553,103.37,102.09
36,1,Schleswig-Holstein,54,5489,40407,594.4499999999999,67.97
37,1,Schleswig-Holstein,54,5492,23750,412.14,57.63
38,1,Schleswig-Holstein,54,5494,21493,273.2,78.67
39,1,Schleswig-Holstein,55,1,8106,95.37,85.0
40,1,Schleswig-Holstein,55,4,20108,18.39,1093.42
41,1,Schleswig-Holstein,55,7,3363,64.25,52.34
42,1,Schleswig-Holstein,55,10,1244,9.11,136.55
43,1,Schleswig-Holstein,55,12,17057,41.39,412.1
