,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,BEZ,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
0,1,Schleswig-Holstein,1,0,"Flensburg, Stadt",95015,56.73,1674.86
1,1,Schleswig-Holstein,2,0,"Kiel, Landeshauptstadt",249132,118.65,2099.72
2,1,Schleswig-Holstein,3,0,"Lübeck, Hansestadt",215958,214.19,1008.25
3,1,Schleswig-Holstein,4,0,"Neumünster, Stadt",79625,71.66,1111.15
4,1,Schleswig-Holstein,51,11,"Brunsbüttel, Stadt",12573,65.21,192.81
5,1,Schleswig-Holstein,51,44,"Heide, Stadt",21487,31.97,672.1
6,1,Schleswig-Holstein,51,5163,Averlak,568,9.06,62.69
7,1,Schleswig-Holstein,51,5163,Brickeln,191,6.07,31.47
8,1,Schleswig-Holstein,51,5163,Buchholz (Kreis Dithmarschen),1001,14.56,68.75
9,1,Schleswig-Holstein,51,5163,Burg (Dithmarschen),4150,11.25,368.89
10,1,Schleswig-Holstein,51,5163,Dingen,648,7.01,92.44
11,1,Schleswig-Holstein,51,5163,Eddelak,1330,9.21,144.41
12,1,Schleswig-Holstein,51,5163,Eggstedt,761,12.79,59.5
13,1,Schleswig-Holstein,51,5163,Frestedt,337,10.33,32.62
14,1,Schleswig-Holstein,51,5163,Großenrade,482,10.4,46.35
15,1,Schleswig-Holstein,51,5163,Hochdonn,1124,5.46,205.86
16,1,Schleswig-Holstein,51,5163,Kuden,622,11.37,54.71
17,1,Schleswig-Holstein,51,5163,Quickborn,188,6.95,27.05
18,1,Schleswig-Holstein,51,5163,Sankt Michaelisdonn,3539,23.06,153.47
19,1,Schleswig-Holstein,51,5163,Süderhastedt,771,15.74,48.98
20,1,Schleswig-Holstein,51,5166,Diekhusen-Fahrstedt,675,7.46,90.48
21,1,Schleswig-Holstein,51,5166,Friedrichskoog,2403,53.27,45.11
22,1,Schleswig-Holstein,51,5166,Helse,800,11.44,69.93
23,1,Schleswig-Holstein,51,5166,Kaiser-Wilhelm-Koog,356,13.05,27.28
24,1,Schleswig-Holstein,51,5166,Kronprinzenkoog,833,28.84,28.88
25,1,Schleswig-Holstein,51,5166,"Marne, Stadt",5766,4.83,1193.79
26,1,Schleswig-Holstein,51,5166,Marnerdeich,395,1.31,301.53
27,1,Schleswig-Holstein,51,5166,Neufeld,613,10.4,58.94
28,1,Schleswig-Holstein,51,5166,Neufelderkoog,116,9.77,11.87
29,1,Schleswig-Holstein,51,5166,Ramhusen,160,4.8,33.33
30,1,Schleswig-Holstein,51,5166,Schmedeswurth,174,5.91,29.44
31,1,Schleswig-Holstein,51,5166,Trennewurth,229,7.79,29.4
32,1,Schleswig-Holstein,51,5166,Volsemenhusen,328,16.78,19.55
33,1,Schleswig-Holstein,51,5169,Barkenholm,177,5.11,34.64
34,1,Schleswig-Holstein,51,5169,Bergewöhrden,35,2.64,13.26
35,1,Schleswig-Holstein,51,5169,Dellstedt,718,21.77,32.98
36,1,Schleswig-Holstein,51,5169,Delve,760,15.84,47.98
37,1,Schleswig-Holstein,51,5169,Dörpling,637,7.82,81.46
38,1,Schleswig-Holstein,51,5169,Fedderingen,265,9.69,27.35
39,1,Schleswig-Holstein,51,5169,Gaushorn,175,6.45,27.13
40,1,Schleswig-Holstein,51,5169,Glüsing,107,4.69,22.81
41,1,Schleswig-Holstein,51,5169,Groven,90,7.9,11.39
42,1,Schleswig-Holstein,51,5169,Hemme,499,16.53,30.19
43,1,Schleswig-Holstein,51,5169,Hennstedt (Kreis Dithmarschen),2071,21.93,94.44
44,1,Schleswig-Holstein,51,5169,Hollingstedt (Kreis Dithmarschen),304,9.74,31.21
45,1,Schleswig-Holstein,51,5169,Hövede,64,2.94,21.77
46,1,Schleswig-Holstein,51,5169,Karolinenkoog,132,17.55,7.52
47,1,Schleswig-Holstein,51,5169,Kleve (Kreis Dithmarschen),413,12.81,32.24
48,1,Schleswig-Holstein,51,5169,Krempel,600,4.82,124.48
49,1,Schleswig-Holstein,51,5169,Lehe (Kreis Dithmarschen),1092,18.63,58.62
50,1,Schleswig-Holstein,51,5169,Linden (Kreis Dithmarschen),874,11.62,75.22
51,1,Schleswig-Holstein,51,5169,Lunden,1727,4.65,371.4
52,1,Schleswig-Holstein,51,5169,Norderheistedt,131,4.33,30.25
53,1,Schleswig-Holstein,51,5169,Pahlen,1171,10.8,108.43
54,1,Schleswig-Holstein,51,5169,Rehm-Flehde-Bargen,539,14.63,36.84
55,1,Schleswig-Holstein,51,5169,Sankt Annen,311,14.89,20.89
56,1,Schleswig-Holstein,51,5169,Schalkholz,578,12.52,46.17
57,1,Schleswig-Holstein,51,5169,Schlichting,243,12.5,19.44
58,1,Schleswig-Holstein,51,5169,Süderdorf,362,16.21,22.33
59,1,Schleswig-Holstein,51,5169,Süderheistedt,548,8.44,64.93
60,1,Schleswig-Holstein,51,5169,Tellingstedt,2673,21.1,126.68
61,1,Schleswig-Holstein,51,5169,Tielenhemme,156,12.68,12.3
62,1,Schleswig-Holstein,51,5169,Wallen,33,1.8599999999999999,17.74
63,1,Schleswig-Holstein,51,5169,Welmbüttel,406,7.6,53.42
64,1,Schleswig-Holstein,51,5169,Westerborstel,117,4.14,28.26
65,1,Schleswig-Holstein,51,5169,Wiemerstedt,152,5.08,29.92
66,1,Schleswig-Holstein,51,5169,Wrohm,741,11.45,64.72
67,1,Schleswig-Holstein,51,5172,Hemmingstedt,2860,16.01,178.64
68,1,Schleswig-Holstein,51,5172,Lieth,381,4.66,81.76
69,1,Schleswig-Holstein,51,5172,Lohe-Rickelshof,2040,5.39,378.48
70,1,Schleswig-Holstein,51,5172,Neuenkirchen (Kreis Dithmarschen),934,25.14,37.15
71,1,Schleswig-Holstein,51,5172,Norderwöhrden,262,18.47,14.19
72,1,Schleswig-Holstein,51,5172,Nordhastedt,2803,26.56,105.53
73,1,Schleswig-Holstein,51,5172,Ostrohe,867,6.66,130.18
74,1,Schleswig-Holstein,51,5172,Stelle-Wittenwurth,460,10.71,42.95
75,1,Schleswig-Holstein,51,5172,Weddingstedt,2371,17.89,132.53
76,1,Schleswig-Holstein,51,5172,Wesseln,1368,3.76,363.83
77,1,Schleswig-Holstein,51,5172,Wöhrden,1165,21.77,53.51
78,1,Schleswig-Holstein,51,5175,Albersdorf (Kreis Dithmarschen),3717,17.12,217.11
79,1,Schleswig-Holstein,51,5175,Arkebek,227,6.92,32.8
80,1,Schleswig-Holstein,51,5175,Bargenstedt,920,11.9,77.31
81,1,Schleswig-Holstein,51,5175,Barlt,763,22.88,33.35
82,1,Schleswig-Holstein,51,5175,Bunsoh,771,11.75,65.62
83,1,Schleswig-Holstein,51,5175,Busenwurth,308,10.09,30.53
84,1,Schleswig-Holstein,51,5175,Elpersbüttel,851,30.17,28.21
85,1,Schleswig-Holstein,51,5175,Epenwöhrden,766,13.52,56.66
86,1,Schleswig-Holstein,51,5175,Gudendorf,428,6.04,70.86
87,1,Schleswig-Holstein,51,5175,Immenstedt (Kreis Dithmarschen),106,3.09,34.3
88,1,Schleswig-Holstein,51,5175,Krumstedt,496,15.89,31.21
89,1,Schleswig-Holstein,51,5175,"Meldorf, Stadt",7180,21.26,337.72
90,1,Schleswig-Holstein,51,5175,Nindorf (Kreis Dithmarschen),1095,8.75,125.14
91,1,Schleswig-Holstein,51,5175,Nordermeldorf,589,34.1,17.27
92,1,Schleswig-Holstein,51,5175,Odderade,325,11.27,28.84
93,1,Schleswig-Holstein,51,5175,Offenbüttel,263,13.95,18.85
94,1,Schleswig-Holstein,51,5175,Osterrade,412,17.09,24.11
95,1,Schleswig-Holstein,51,5175,Sarzbüttel,707,13.39,52.8
96,1,Schleswig-Holstein,51,5175,Schafstedt,1280,18.16,70.48
